Num threads;Num fila;Num columna;Num elementos;Num iteraciones;Tiempo(ns);Coste;
9;3;1;3;2;68951;1.6985078;
10;3;1;3;2;91844;1.6985078;
11;3;1;3;2;118635;1.6985078;
12;3;1;3;2;108175;1.6985078;
13;3;1;3;2;107133;1.6985078;
14;3;1;3;2;93057;1.6985078;
15;3;1;3;2;77036;1.6985078;
16;3;1;3;2;75433;1.6985078;
17;3;1;3;2;84290;1.6985078;
18;3;1;3;2;98577;1.6985078;
19;3;1;3;2;90852;1.6985078;
20;3;1;3;2;97184;1.6985078;
21;3;1;3;2;94550;1.6985078;
22;3;1;3;2;91263;1.6985078;
1;3;2;6;12;179039;4.9994025;
2;3;2;6;14;244223;4.9994025;
3;3;2;6;8;208946;4.9994025;
4;3;2;6;10;278087;4.9994025;
5;3;2;6;8;290651;4.9994025;
6;3;2;6;4;234384;4.9994025;
7;3;2;6;6;257898;4.9994025;
8;3;2;6;8;291192;4.9994025;
9;3;2;6;20;399367;4.9994025;
10;3;2;6;8;309005;4.9994025;
11;3;2;6;2;177406;4.9994025;
12;3;2;6;8;395640;4.9994025;
13;3;2;6;14;447417;4.9994025;
14;3;2;6;4;331818;4.9994025;
15;3;2;6;12;526918;4.9994025;
16;3;2;6;8;433722;4.9994025;
17;3;2;6;6;395770;4.9994025;
18;3;2;6;14;483777;4.9994025;
19;3;2;6;18;491832;4.9994025;
20;3;2;6;6;443199;4.9994025;
21;3;2;6;18;617500;4.9994025;
22;3;2;6;2;274279;4.9994025;
1;3;3;9;23;307111;22.05712;
2;3;3;9;7;190972;20.889408;
3;3;3;9;36;580079;21.054773;
4;3;3;9;19;563427;21.408052;
5;3;3;9;19;530906;22.064425;
6;3;3;9;15;490850;20.889408;
7;3;3;9;20;481843;21.25451;
8;3;3;9;30;891279;21.283943;
9;3;3;9;31;882642;21.8082;
10;3;3;9;21;761062;21.25451;
11;3;3;9;40;1035322;20.889408;
12;3;3;9;21;880839;20.889408;
13;3;3;9;26;1058586;22.05712;
14;3;3;9;17;979907;21.054773;
15;3;3;9;10;915455;21.408052;
16;3;3;9;52;1756678;21.283943;
17;3;3;9;35;1437514;21.283943;
18;3;3;9;7;728050;21.25451;
19;3;3;9;28;1236644;21.054773;
20;3;3;9;31;1995841;21.74749;
21;3;3;9;21;1034520;21.410015;
22;3;3;9;21;1109873;20.889408;
1;3;4;12;115;2350344;40.987923;
2;3;4;12;33;800818;42.039726;
3;3;4;12;109;2278687;41.844627;
4;3;4;12;53;1366610;40.706203;
5;3;4;12;100;2441757;41.298717;
6;3;4;12;89;2197224;41.22556;
7;3;4;12;94;2258289;41.351845;
8;3;4;12;91;2432720;41.148544;
9;3;4;12;65;1871195;41.48802;
10;3;4;12;19;775699;41.631447;
11;3;4;12;39;1339118;42.16681;
12;3;4;12;65;2269401;41.148544;
13;3;4;12;109;3218949;41.148544;
14;3;4;12;34;1421123;40.987923;
15;3;4;12;91;2798443;41.3016;
16;3;4;12;68;2355122;41.22991;
17;3;4;12;36;1592908;42.26632;
18;3;4;12;71;2665110;40.987923;
19;3;4;12;67;2329013;40.706203;
20;3;4;12;63;2374710;41.57332;
21;3;4;12;34;1633044;42.26632;
22;3;4;12;21;1437384;41.631447;
1;3;5;15;87;2715124;77.192085;
2;3;5;15;107;3482960;76.980865;
3;3;5;15;103;2802450;75.956604;
4;3;5;15;102;2849349;74.98149;
5;3;5;15;109;3078243;76.32787;
6;3;5;15;135;3673591;77.55228;
7;3;5;15;217;5918955;74.793274;
8;3;5;15;60;1773641;76.950676;
9;3;5;15;162;4850732;76.55333;
10;3;5;15;93;2906467;75.91871;
11;3;5;15;88;2829020;76.96816;
12;3;5;15;88;2982452;75.784096;
13;3;5;15;83;2604154;76.27194;
14;3;5;15;153;4904212;76.745476;
15;3;5;15;48;1950966;75.65639;
16;3;5;15;132;4367476;77.11863;
17;3;5;15;139;4892771;74.501755;
18;3;5;15;99;3660576;77.42624;
19;3;5;15;155;5556228;76.243355;
20;3;5;15;137;4871371;75.42879;
21;3;5;15;152;5313638;75.5813;
22;3;5;15;119;4430194;76.346596;
1;3;6;18;193;8771330;137.81137;
2;3;6;18;151;5876845;138.79564;
3;3;6;18;209;7338766;139.91618;
4;3;6;18;273;9179954;139.95573;
5;3;6;18;177;5627744;139.90344;
6;3;6;18;130;4322190;138.37868;
7;3;6;18;174;5515440;138.96617;
8;3;6;18;139;4458438;141.7441;
9;3;6;18;127;4438159;139.03079;
10;3;6;18;299;9619627;137.30586;
11;3;6;18;211;7092199;138.15373;
12;3;6;18;84;3296676;138.01147;
13;3;6;18;194;6258899;138.6425;
14;3;6;18;218;6805566;140.24034;
15;3;6;18;150;5565125;139.25688;
16;3;6;18;195;6487823;140.83887;
17;3;6;18;223;7806451;139.96477;
18;3;6;18;193;6659048;138.06325;
19;3;6;18;166;6171183;140.9902;
20;3;6;18;248;9184172;140.54979;
21;3;6;18;167;6548739;139.12468;
22;3;6;18;284;11229407;140.56105;
1;3;7;21;283;18254239;211.25978;
2;3;7;21;223;10360712;214.67072;
3;3;7;21;229;9693868;210.51666;
4;3;7;21;273;11349765;211.12227;
5;3;7;21;277;10513220;212.4639;
6;3;7;21;351;13206163;211.7241;
7;3;7;21;358;12487040;215.05746;
8;3;7;21;458;16263296;211.28752;
9;3;7;21;352;11709988;215.58185;
10;3;7;21;179;6272254;212.23793;
11;3;7;21;254;9063043;215.68584;
12;3;7;21;324;12301840;213.13847;
13;3;7;21;229;8265001;214.08817;
14;3;7;21;391;14322308;212.43123;
15;3;7;21;261;10075641;214.26764;
16;3;7;21;352;13028637;214.74109;
17;3;7;21;163;6713330;213.22195;
18;3;7;21;220;8463477;214.42479;
19;3;7;21;339;12774325;216.2249;
20;3;7;21;285;11037254;211.91899;
21;3;7;21;282;11219518;215.11969;
22;3;7;21;262;10678994;214.68483;
1;3;8;24;486;46605378;333.59467;
2;3;8;24;312;20798218;333.34167;
3;3;8;24;574;33514243;334.1503;
4;3;8;24;400;20411867;334.22104;
5;3;8;24;358;15786312;335.32245;
6;3;8;24;471;20498270;336.7041;
7;3;8;24;595;24890182;334.18207;
8;3;8;24;434;19149805;335.7242;
9;3;8;24;490;20621253;332.4853;
10;3;8;24;520;20343217;336.47214;
11;3;8;24;357;13863809;337.69443;
12;3;8;24;490;19069713;331.68982;
13;3;8;24;447;18124252;335.09476;
14;3;8;24;279;11703946;330.6865;
15;3;8;24;399;16049280;336.80142;
16;3;8;24;544;21799756;332.45288;
17;3;8;24;411;17217594;332.9054;
18;3;8;24;487;19779509;334.99088;
19;3;8;24;672;27050024;334.26233;
20;3;8;24;509;20721833;336.0018;
21;3;8;24;254;10947203;335.9998;
22;3;8;24;397;16731683;332.7832;
1;4;1;4;2;82787;4.141312;
2;4;1;4;4;134034;4.141312;
3;4;1;4;2;130798;4.141312;
4;4;1;4;4;212182;4.141312;
5;4;1;4;2;138442;4.141312;
6;4;1;4;4;268799;4.141312;
7;4;1;4;4;213234;4.141312;
8;4;1;4;6;860460;4.141312;
9;4;1;4;2;146007;4.141312;
10;4;1;4;4;212853;4.141312;
11;4;1;4;2;143431;4.141312;
12;4;1;4;4;251447;4.141312;
13;4;1;4;2;172186;4.141312;
14;4;1;4;2;137680;4.141312;
15;4;1;4;6;228373;4.141312;
16;4;1;4;2;137651;4.141312;
17;4;1;4;4;302483;4.141312;
18;4;1;4;2;149043;4.141312;
19;4;1;4;2;119917;4.141312;
20;4;1;4;2;129916;4.141312;
21;4;1;4;2;148722;4.141312;
22;4;1;4;4;275102;4.141312;
1;4;2;8;23;344132;14.355111;
2;4;2;8;12;243060;14.355111;
3;4;2;8;29;628140;14.355111;
4;4;2;8;19;429825;14.355111;
5;4;2;8;34;652526;14.355111;
6;4;2;8;8;340736;14.355111;
7;4;2;8;11;427059;14.355111;
8;4;2;8;23;648619;14.847686;
9;4;2;8;22;628170;14.355111;
10;4;2;8;15;619394;14.355111;
11;4;2;8;26;859037;14.355111;
12;4;2;8;33;998973;14.355111;
13;4;2;8;15;725294;14.355111;
14;4;2;8;12;763106;14.355111;
15;4;2;8;17;832247;14.355111;
16;4;2;8;7;733009;14.355111;
17;4;2;8;20;829070;14.355111;
18;4;2;8;15;625916;14.355111;
19;4;2;8;19;785799;14.355111;
20;4;2;8;26;972252;14.355111;
21;4;2;8;21;971250;14.355111;
22;4;2;8;15;720826;14.355111;
1;4;3;12;61;1237985;41.72281;
2;4;3;12;50;967363;41.317387;
3;4;3;12;51;1093632;42.37994;
