Num threads;Num fila;Num columna;Num elementos;Num iteraciones;Tiempo(ns);Coste;
13;4;4;16;86;2983572;92.122345;
14;4;4;16;67;2354000;90.31338;
15;4;4;16;55;2123884;89.87133;
16;4;4;16;63;2442076;91.85555;
17;4;4;16;95;3514168;91.71149;
18;4;4;16;80;3063263;91.215485;
19;4;4;16;84;3092900;91.166016;
20;4;4;16;65;3354755;90.647545;
21;4;4;16;65;2754158;91.489746;
22;4;4;16;93;3638774;92.42122;
1;4;5;20;226;14806961;184.75922;
2;4;5;20;143;6849877;187.05148;
3;4;5;20;138;5356207;186.93118;
4;4;5;20;157;5371656;185.16954;
5;4;5;20;85;2904282;185.1253;
6;4;5;20;68;2401951;187.73401;
7;4;5;20;165;5786913;187.71458;
8;4;5;20;128;4710974;186.55872;
9;4;5;20;125;4191130;184.15244;
10;4;5;20;196;6716994;184.94916;
11;4;5;20;144;5148153;186.90547;
12;4;5;20;144;5121693;186.2164;
13;4;5;20;137;4984934;182.81068;
14;4;5;20;114;4360932;184.30779;
15;4;5;20;167;5860452;187.08762;
16;4;5;20;157;5700279;186.31981;
17;4;5;20;119;4749036;185.61996;
18;4;5;20;220;8319070;185.1503;
19;4;5;20;131;5149996;186.69415;
20;4;5;20;95;3960182;184.14178;
21;4;5;20;96;4351814;186.44873;
22;4;5;20;137;6912154;184.76578;
1;4;6;24;305;30763579;288.21918;
2;4;6;24;243;16987652;289.95908;
3;4;6;24;215;10759243;287.5552;
4;4;6;24;222;10619678;286.1828;
5;4;6;24;212;9927437;291.40005;
6;4;6;24;232;10320942;287.30344;
7;4;6;24;273;11642015;287.502;
8;4;6;24;255;10606413;290.9547;
9;4;6;24;320;12779850;284.92926;
10;4;6;24;224;9101622;290.01862;
11;4;6;24;271;10265668;285.2177;
12;4;6;24;162;6388382;287.66086;
13;4;6;24;251;11236116;288.5231;
14;4;6;24;178;7110641;287.25104;
15;4;6;24;226;8771357;289.91425;
16;4;6;24;339;13355200;284.0624;
17;4;6;24;242;9943307;287.61224;
18;4;6;24;161;7128765;289.78943;
19;4;6;24;276;11853997;286.0587;
20;4;6;24;231;9958275;288.8303;
21;4;6;24;219;9098176;292.5467;
22;4;6;24;282;11885426;288.91562;
1;4;7;28;335;54407280;455.1891;
2;4;7;28;278;26593429;454.0079;
3;4;7;28;376;27322290;453.5437;
4;4;7;28;401;26585985;450.49072;
5;4;7;28;367;21426922;455.0543;
6;4;7;28;195;10609559;451.26678;
7;4;7;28;329;16366555;452.50278;
8;4;7;28;401;20086502;454.00354;
9;4;7;28;419;20125045;454.66837;
10;4;7;28;412;19638463;451.03018;
11;4;7;28;393;17331023;450.4684;
12;4;7;28;384;18199939;455.0754;
13;4;7;28;314;14377487;454.27353;
14;4;7;28;360;15967589;453.8199;
15;4;7;28;444;20818309;453.70862;
16;4;7;28;526;22872720;444.14948;
17;4;7;28;378;17027537;456.53958;
18;4;7;28;377;16864438;453.41824;
19;4;7;28;335;15363615;454.96024;
20;4;7;28;302;13640180;455.49713;
21;4;7;28;437;20083677;452.6871;
22;4;7;28;424;19220522;451.14212;
1;4;8;32;635;151232027;674.7612;
2;4;8;32;535;69497317;672.7714;
3;4;8;32;673;67029451;678.0442;
4;4;8;32;433;36833088;677.3613;
5;4;8;32;648;47525343;676.3884;
6;4;8;32;644;43390970;676.1838;
7;4;8;32;597;36867873;679.7006;
8;4;8;32;438;27362005;684.9968;
9;4;8;32;542;30168401;677.4081;
10;4;8;32;705;38065722;668.1484;
11;4;8;32;640;35656879;671.6774;
12;4;8;32;502;26687698;680.32806;
13;4;8;32;514;28458252;676.83545;
14;4;8;32;492;25986910;675.91876;
15;4;8;32;371;19066169;682.71515;
16;4;8;32;400;21169884;679.5394;
17;4;8;32;483;25881259;674.7085;
18;4;8;32;595;30254644;672.0752;
19;4;8;32;633;32516720;674.4586;
20;4;8;32;412;21470284;672.79065;
